row_number,variable_name,issue_type,current_value,details
135,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
136,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
137,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
138,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
139,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
140,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
141,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
142,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
143,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
144,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
145,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
146,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
147,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
148,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
149,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
150,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
151,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
152,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
153,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
154,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
155,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
156,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
157,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
158,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
159,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
160,FatherEducation,Missing Value,NaN,"Missing value in column ""FatherEducation"""
121,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
122,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
123,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
124,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
125,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
126,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
127,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
128,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
129,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
130,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
131,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
132,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
133,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
134,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
135,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
136,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
137,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
138,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
139,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
140,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
141,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
142,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
143,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
144,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
145,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
146,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
147,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
148,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
149,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
150,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
151,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
152,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
153,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
154,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
155,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
156,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
157,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
158,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
