education_level,education_label,n,mean_knowledge,std_knowledge,mean_practice,std_practice
1.0,Illiterate,86,6.534883720930233,1.271383446751235,5.593023255813954,0.6207757381694805
2.0,Primary,17,6.529411764705882,1.2307338795828044,5.764705882352941,0.4372373160976031
3.0,Middle,8,7.375,0.5175491695067657,6.0,0.0
4.0,Secondary,8,7.25,0.7071067811865476,6.125,0.3535533905932738
5.0,Intermediate and above,1,8.0,,6.0,
