row_number,variable_name,issue_type,current_value,details,missing_category
20,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
21,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
23,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
27,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
30,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
31,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
32,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
33,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
34,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
35,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
36,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
37,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
40,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
41,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
42,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
44,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
48,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
49,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
50,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
51,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
52,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
53,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
54,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
55,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
56,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
57,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
58,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
61,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
62,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
63,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
64,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
65,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
66,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
68,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
69,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
71,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
72,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
73,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
74,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
75,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
76,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
77,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
78,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
79,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
80,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
81,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
83,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
84,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
85,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
87,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
88,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
90,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
91,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
92,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
93,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
94,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
95,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
96,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
97,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
98,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
99,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
100,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
101,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
102,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
103,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
106,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
107,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
108,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
109,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
110,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
111,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
112,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
113,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
114,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
115,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
116,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
117,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
118,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
119,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
120,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
1,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
2,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
3,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
4,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
5,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
6,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
7,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
8,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
9,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
10,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
11,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
12,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
13,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
14,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
15,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
16,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
17,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
18,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
19,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
20,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
21,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
22,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
23,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
24,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
25,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
26,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
27,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
28,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
29,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
30,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
31,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
32,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
33,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
34,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
35,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
36,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
37,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
38,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
39,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
40,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
41,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
42,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
43,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
44,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
45,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
46,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
47,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
48,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
49,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
50,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
51,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
52,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
53,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
54,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
55,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
56,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
57,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
58,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
59,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
60,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
61,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
62,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
63,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
64,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
65,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
66,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
67,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
68,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
69,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
70,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
71,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
72,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
73,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
74,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
75,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
76,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
77,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
78,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
79,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
80,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
81,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
82,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
83,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
84,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
85,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
86,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
87,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
88,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
89,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
90,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
91,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
92,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
93,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
94,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
95,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
96,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
97,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
98,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
99,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
100,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
101,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
102,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
103,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
104,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
105,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
106,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
107,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
108,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
109,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
110,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
111,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
112,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
113,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
114,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
115,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
116,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
117,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
118,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
119,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
120,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify""",conditional
1,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
2,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
3,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
4,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
5,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
6,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
7,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
8,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
9,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
10,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
11,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
12,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
13,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
14,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
15,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
16,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
17,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
18,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
19,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
20,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
21,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
22,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
23,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
24,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
25,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
26,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
27,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
28,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
29,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
30,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
31,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
32,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
33,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
34,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
35,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
36,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
37,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
38,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
39,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
40,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
41,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
42,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
43,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
44,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
45,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
46,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
47,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
48,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
49,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
50,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
51,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
52,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
