education_level,n,mean_knowledge,std_knowledge,mean_practice,std_practice,knowledge_significant,practice_significant
1.0,86,5.732558139534884,1.162395281605046,5.593023255813954,0.6207757381694805,False,True
2.0,17,5.705882352941177,0.919558717697852,5.764705882352941,0.4372373160976031,False,True
3.0,8,6.375,0.5175491695067657,6.0,0.0,False,True
4.0,8,6.25,0.7071067811865476,6.125,0.3535533905932738,False,True
5.0,1,7.0,,6.0,,False,True
