row_number,variable_name,issue_type,current_value,details
35,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
36,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
37,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
40,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
41,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
42,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
44,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
48,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
49,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
50,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
51,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
52,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
53,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
54,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
55,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
56,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
57,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
58,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
61,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
62,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
63,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
64,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
65,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
66,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
68,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
69,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
71,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
72,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
73,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
74,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
75,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
76,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
77,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
78,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
79,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
80,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
81,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
83,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
84,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
85,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
87,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
88,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
90,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
91,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
92,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
93,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
94,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
95,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
96,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
97,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
98,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
99,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
100,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
101,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
102,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
103,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
106,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
107,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
108,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
109,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
110,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
111,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
112,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
113,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
114,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
115,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
116,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
117,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
118,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
119,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
120,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
1,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
2,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
3,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
4,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
5,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
6,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
7,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
8,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
9,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
10,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
11,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
12,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
13,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
14,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
15,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
16,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
17,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
18,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
19,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
20,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
21,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
22,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
23,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
24,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
25,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
26,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
27,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
28,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
29,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
30,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
31,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
32,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
33,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
34,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
35,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
36,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
37,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
38,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
39,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
40,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
41,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
42,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
43,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
44,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
45,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
46,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
47,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
48,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
49,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
50,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
51,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
52,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
53,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
54,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
55,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
56,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
57,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
58,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
59,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
60,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
61,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
62,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
63,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
64,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
65,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
66,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
67,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
68,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
69,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
70,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
71,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
72,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
73,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
74,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
75,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
76,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
77,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
78,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
79,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
80,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
81,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
82,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
83,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
84,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
85,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
86,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
87,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
88,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
89,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
90,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
91,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
92,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
93,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
94,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
95,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
96,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
97,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
98,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
99,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
100,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
101,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
102,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
103,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
104,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
105,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
106,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
107,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
108,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
109,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
110,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
111,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
112,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
113,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
114,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
115,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
116,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
117,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
118,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
119,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
120,AnyOtherSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherSpecify"""
1,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
2,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
3,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
4,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
5,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
6,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
7,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
8,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
9,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
10,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
11,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
12,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
13,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
14,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
15,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
16,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
17,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
18,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
19,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
20,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
21,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
22,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
23,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
24,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
25,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
26,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
27,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
28,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
29,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
30,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
31,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
32,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
33,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
34,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
35,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
36,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
37,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
38,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
39,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
40,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
41,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
42,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
43,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
44,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
45,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
46,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
47,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify"""
