row_number,variable_name,issue_type,current_value,details
17,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
1,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
2,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
3,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
4,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
5,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
7,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
8,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
9,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
10,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
11,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
14,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
15,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
16,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
17,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
18,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
20,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
21,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
23,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
27,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
30,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
31,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
32,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
33,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
34,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation"""
